Graph,Material,Absorbance_E_Coli,Accuracy_E_Coli,Absorbance_S_Aureus,Accuracy_S_Aureus
Graph 1,1,0.839,0.024,,
Graph 1,2,0.992,0.047,,
Graph 1,3,0.526,0.089,,
Graph 1,4,0.492,0.052,,
Graph 1,5,0.245,0.028,,
Graph 2,1,19.73,1.219,20.166,0.65
Graph 2,2,21.1,1.326,21.955,0.612
Graph 2,3,No_ZOI,NA,No_ZOI,NA
Graph 2,4,18.222,0.864,20.3,1.4
Graph 2,5,No_ZOI,NA,7.322,2.1
Graph 2,6,No_ZOI,NA,No_ZOI,NA
Graph 3,1_Control,0.967,0.016,NA,NA
Graph 3,2_Control,NA,NA,0.923,0.011
Graph 3,3,0.001,0.001,0.047,0.009
Graph 3,4,0.002,0.001,0.009,0.015
Graph 3,5,0.7,0.073,0.565,0.068
Graph 3,6,0.001,0.002,0.012,0.019
Graph 3,7,0.798,0.151,0.657,0.074
Graph 3,8,0.873,0.02,0.763,0.032